#Z (deuterium)	MULT	stat +	stat -	sys +	sys -
0.13	3.9428	0.0356	-0.0356	0.1205	-0.1205
0.179	2.5898	0.0096	-0.0096	0.0765	-0.0765
0.228	1.7883	0.006	-0.006	0.0413	-0.0413
0.278	1.2648	0.0047	-0.0047	0.0243	-0.0243
0.349	0.7942	0.0022	-0.0022	0.0129	-0.0129
0.449	0.4307	0.0017	-0.0017	0.0058	-0.0058
0.549	0.2514	0.0013	-0.0013	0.0034	-0.0034
0.648	0.158	0.0011	-0.0011	0.0032	-0.0032
0.747	0.0883	0.0008	-0.0008	0.0027	-0.0027
0.88	0.0261	0.0002	-0.0002	0.0009	-0.0009

