#E+- DEUT --> E+- K- X					
#Z (deuterium)	MULT	stat +	stat -	sys +	sys -
0.129	0.3608	0.0174	-0.0174	0.0243	-0.0243
0.177	0.246	0.0041	-0.0041	0.0148	-0.0148
0.226	0.1747	0.0023	-0.0023	0.0075	-0.0075
0.276	0.1388	0.0017	-0.0017	0.0052	-0.0052
0.348	0.0901	0.0008	-0.0008	0.0027	-0.0027
0.447	0.0495	0.0006	-0.0006	0.0019	-0.0019
0.547	0.0311	0.0005	-0.0005	0.0013	-0.0013
0.645	0.017	0.0004	-0.0004	0.0007	-0.0007
0.743	0.0075	0.0003	-0.0003	0.0002	-0.0002
0.842	0.0009	0.0001	-0.0001	0	0

