#E+- DEUT --> E+- K+ X					
#Z (deuterium)	MULT	stat +	stat -	sys +	sys -
0.132	0.483	0.018	-0.018	0.0343	-0.0343
0.179	0.3398	0.0046	-0.0046	0.0222	-0.0222
0.228	0.2725	0.0029	-0.0029	0.015	-0.015
0.278	0.2346	0.0023	-0.0023	0.0116	-0.0116
0.349	0.1795	0.0012	-0.0012	0.0087	-0.0087
0.449	0.126	0.001	-0.001	0.0058	-0.0058
0.549	0.0936	0.001	-0.001	0.0042	-0.0042
0.648	0.0656	0.0009	-0.0009	0.0029	-0.0029
0.746	0.0354	0.0007	-0.0007	0.0015	-0.0015
0.867	0.0127	0.0002	-0.0002	0.0005	-0.0005

