#E+- DEUT --> E+- K+ X					
#0.2-0.3					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.069	0.1809	0.0043	-0.0043	0.011	-0.011
0.153	0.3954	0.006	-0.006	0.023	-0.023
0.252	0.4988	0.0073	-0.0073	0.0264	-0.0264
0.353	0.4664	0.0076	-0.0076	0.0244	-0.0244
0.454	0.3711	0.0069	-0.0069	0.0197	-0.0197
0.558	0.2766	0.0063	-0.0063	0.0143	-0.0143
0.663	0.1774	0.0055	-0.0055	0.0091	-0.0091
0.779	0.1054	0.0049	-0.0049	0.0043	-0.0043
0.98	0.0296	0.0015	-0.0015	0.0013	-0.0013

