#E+- DEUT --> E+- PI+ X					
#0.2-0.3					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.069	1.049	0.0087	-0.0087	0.0391	-0.0391
0.156	2.4858	0.0127	-0.0127	0.0946	-0.0946
0.255	3.5151	0.017	-0.017	0.1074	-0.1074
0.354	3.5758	0.0184	-0.0184	0.0925	-0.0925
0.456	2.7829	0.0158	-0.0158	0.0584	-0.0584
0.561	1.8078	0.0128	-0.0128	0.0341	-0.0341
0.669	1.0437	0.0107	-0.0107	0.0165	-0.0165
0.779	0.5652	0.0093	-0.0093	0.0145	-0.0145
0.966	0.1445	0.003	-0.003	0.0039	-0.0039

