#E+- DEUT --> E+- K+ X					
#0.4-0.6					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.068	0.0389	0.0013	-0.0013	0.0017	-0.0017
0.155	0.1029	0.0018	-0.0018	0.0052	-0.0052
0.252	0.1541	0.0025	-0.0025	0.0086	-0.0086
0.352	0.1792	0.0028	-0.0028	0.0101	-0.0101
0.451	0.1753	0.0031	-0.0031	0.0095	-0.0095
0.55	0.1562	0.0031	-0.0031	0.0071	-0.0071
0.651	0.1203	0.0028	-0.0028	0.0044	-0.0044
0.75	0.0815	0.0022	-0.0022	0.002	-0.002
0.936	0.0235	0.0005	-0.0005	0.0007	-0.0007

