#E+- DEUT --> E+- PI+ X					
#0.4-0.6					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.069	0.1812	0.0026	-0.0026	0.0049	-0.0049
0.155	0.436	0.0036	-0.0036	0.015	-0.015
0.253	0.6345	0.0044	-0.0044	0.0161	-0.0161
0.352	0.7277	0.005	-0.005	0.0149	-0.0149
0.451	0.7267	0.0054	-0.0054	0.0207	-0.0207
0.551	0.6352	0.0056	-0.0056	0.0202	-0.0202
0.651	0.4584	0.0049	-0.0049	0.0141	-0.0141
0.753	0.3007	0.0039	-0.0039	0.0096	-0.0096
0.934	0.0932	0.0009	-0.0009	0.0014	-0.0014

