#E+- DEUT --> E+- PI- X					
#0.2-0.3					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.069	0.9495	0.0083	-0.0083	0.0287	-0.0287
0.156	2.1794	0.0118	-0.0118	0.0626	-0.0626
0.254	3.0218	0.0157	-0.0157	0.065	-0.065
0.355	3.0338	0.0166	-0.0166	0.0561	-0.0561
0.456	2.4336	0.0146	-0.0146	0.0485	-0.0485
0.559	1.6506	0.0121	-0.0121	0.0274	-0.0274
0.666	1.0008	0.0104	-0.0104	0.0187	-0.0187
0.775	0.561	0.0091	-0.0091	0.0131	-0.0131
0.975	0.152	0.0031	-0.0031	0.0051	-0.0051

