#E+- DEUT --> E+- K- X					
#0.2-0.3					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.069	0.1068	0.0032	-0.0032	0.0058	-0.0058
0.154	0.2213	0.0043	-0.0043	0.0108	-0.0108
0.252	0.28	0.0052	-0.0052	0.0126	-0.0126
0.353	0.267	0.0055	-0.0055	0.0117	-0.0117
0.453	0.2363	0.0053	-0.0053	0.0094	-0.0094
0.555	0.1762	0.0046	-0.0046	0.0068	-0.0068
0.654	0.128	0.0044	-0.0044	0.0049	-0.0049
0.759	0.0819	0.0042	-0.0042	0.0034	-0.0034
0.948	0.0248	0.0014	-0.0014	0.0007	-0.0007

