

















Broadening results as a function of Q^2:


































Broadening results as a function of x:





























Broadening results as a function of z:

































Average kinematics for broadening results as a function of nu:
(upper left enrty of each table tells you for which broadening result)


D<pt^2>_He^pi+	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
0.254	11.3	5.4	0.25	0.42
0.422	10.0	7.9	0.42	0.38

D<pt^2>_Ne^pi-
0.059	15.2	1.6	0.06	0.41
0.131	12.2	2.9	0.13	0.43
0.254	11.4	5.4	0.25	0.42
0.422	10.0	8.0	0.42	0.39

D<pt^2>_Kr^pi-
0.059	15.3	1.6	0.06	0.40
0.131	12.4	3.0	0.13	0.42
0.254	11.4	5.4	0.25	0.41
0.422	10.1	8.0	0.42	0.39

D<pt^2>_Xe^pi-
0.059	15.3	1.6	0.06	0.40
0.131	12.5	3.0	0.13	0.42
0.254	11.4	5.4	0.25	0.41
0.422	10.0	8.0	0.42	0.38







D<pt^2>_He^K+	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
0.059	14.6	1.6	0.06	0.42
0.131	12.0	2.9	0.13	0.45
0.254	11.2	5.5	0.26	0.44
0.422	10.0	8.1	0.42	0.43

D<pt^2>_Ne^K+
0.059	14.7	1.6	0.06	0.42
0.131	12.0	2.9	0.13	0.44
0.254	11.3	5.4	0.25	0.44
0.422	10.0	8.1	0.43	0.44

D<pt^2>_Kr^K+
0.059	14.8	1.6	0.06	0.41
0.131	12.2	3.0	0.13	0.43
0.254	11.3	5.4	0.25	0.43
0.422	10.0	8.1	0.42	0.41

D<pt^2>_Xe^K+
0.059	14.9	1.6	0.06	0.41
0.131	12.2	3.0	0.13	0.43
0.254	11.4	5.5	0.26	0.43
0.422	10.2	8.2	0.42	0.42




Average kinematics for broadening results as a function of z:
(upper left enrty of each table tells you for which broadening result)



D<pt^2>_He^pi+	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
0.32	14.2	2.4	0.10	0.32
0.53	12.8	2.4	0.11	0.54
0.75	12.1	2.4	0.11	0.75
0.94	10.6	2.3	0.12	0.94

D<pt^2>_Ne^pi+
0.32	14.2	2.4	0.10	0.32
0.53	12.9	2.4	0.11	0.54
0.75	12.2	2.4	0.11	0.75
0.94	10.6	2.2	0.11	0.94

D<pt^2>_Kr^pi+
0.32	14.4	2.4	0.10	0.31
0.53	13.1	2.4	0.11	0.54
0.75	12.4	2.4	0.11	0.75
0.94	10.7	2.2	0.11	0.94

D<pt^2>_Xe^pi+
0.32	14.5	2.4	0.10	0.31
0.53	13.1	2.4	0.11	0.54
0.75	12.4	2.4	0.11	0.75
0.94	10.8	2.3	0.11	0.94







D<pt^2>_He^pi-	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
0.32	14.4	2.4	0.10	0.31
0.53	12.9	2.3	0.10	0.54
0.75	12.1	2.2	0.10	0.75
0.94	10.6	2.1	0.11	0.95

D<pt^2>_Ne^pi-
0.32	14.5	2.4	0.09	0.31
0.53	13.0	2.3	0.10	0.54
0.75	12.2	2.2	0.10	0.75
0.94	10.7	2.1	0.11	0.95

D<pt^2>_Kr^pi-
0.32	14.5	2.4	0.09	0.31
0.53	13.1	2.3	0.10	0.54
0.75	12.4	2.2	0.10	0.75
0.94	10.8	2.1	0.11	0.94

D<pt^2>_Xe^pi-
0.32	14.6	2.4	0.09	0.31
0.53	13.2	2.3	0.10	0.54
0.75	12.4	2.2	0.10	0.75
0.94	10.8	2.1	0.11	0.94







D<pt^2>_He^K+	<nu>(GeV)	<Q^2>(GeV^2)	<x>	<z> 
0.32	13.7	2.4	0.10	0.33
0.53	13.1	2.5	0.11	0.55
0.75	12.7	2.6	0.11	0.75
0.94	10.9	2.5	0.12	0.92

D<pt^2>_Ne^K+
0.32	13.7	2.4	0.10	0.33
0.53	13.1	2.5	0.11	0.55
0.75	12.7	2.6	0.12	0.75
0.94	10.9	2.6	0.13	0.92

D<pt^2>_Kr^K+
0.32	14.0	2.4	0.10	0.32
0.53	13.2	2.5	0.11	0.55
0.75	12.8	2.6	0.11	0.75
0.94	10.9	2.6	0.13	0.92

D<pt^2>_Xe^K+
0.32	14.2	2.4	0.10	0.32
0.53	13.3	2.5	0.11	0.55
0.75	12.8	2.6	0.11	0.74
0.94	11.0	2.6	0.13	0.92
