# D<pt^2>_Ne^K+(GeV^2)  Value	Stat. error	Sys. uncertainty 
0.32	0.0125	0.0037	0.0021
0.53	0.0076	0.0055	0.0031
0.75	0.0069	0.0108	0.0074
0.94	-0.0155	0.0199	0.0312
