#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.069	0.4927	0.0059	-0.0059	0.016	-0.016
0.155	1.1528	0.0082	-0.0082	0.0396	-0.0396
0.253	1.6833	0.0107	-0.0107	0.0419	-0.0419
0.352	1.8433	0.0124	-0.0124	0.0389	-0.0389
0.452	1.661	0.0126	-0.0126	0.0293	-0.0293
0.554	1.2064	0.0108	-0.0108	0.0198	-0.0198
0.657	0.7604	0.0083	-0.0083	0.0182	-0.0182
0.759	0.4572	0.0066	-0.0066	0.0064	-0.0064
0.95	0.1141	0.0016	-0.0016	0.0035	-0.0035

