#E+- DEUT --> E+- PI- X					
#0.4-0.6					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.069	0.1409	0.0022	-0.0022	0.003	-0.003
0.155	0.3418	0.003	-0.003	0.0055	-0.0055
0.253	0.5025	0.0038	-0.0038	0.0057	-0.0057
0.352	0.5743	0.0043	-0.0043	0.007	-0.007
0.451	0.5441	0.0046	-0.0046	0.005	-0.005
0.552	0.4562	0.0045	-0.0045	0.0046	-0.0046
0.653	0.3397	0.004	-0.004	0.0046	-0.0046
0.753	0.2233	0.0033	-0.0033	0.0023	-0.0023
0.943	0.076	0.0008	-0.0008	0.0016	-0.0016

