#27.6					
#E+- DEUT --> E+- PI- X					
#0.3-0.4					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.069	0.3981	0.0052	-0.0052	0.0076	-0.0076
0.156	0.9445	0.0074	-0.0074	0.0224	-0.0224
0.253	1.3598	0.0094	-0.0094	0.0254	-0.0254
0.353	1.4939	0.0109	-0.0109	0.0226	-0.0226
0.453	1.3111	0.0111	-0.0111	0.015	-0.015
0.555	1.0187	0.0096	-0.0096	0.0126	-0.0126
0.658	0.6816	0.0077	-0.0077	0.0111	-0.0111
0.761	0.3989	0.006	-0.006	0.007	-0.007
0.949	0.1111	0.0015	-0.0015	0.0019	-0.0019

