#E+- DEUT --> E+- PI- X					
#0.6-0.8					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.07	0.0488	0.0016	-0.0016	0.0011	-0.0011
0.155	0.1144	0.0021	-0.0021	0.0041	-0.0041
0.252	0.1667	0.0024	-0.0024	0.0055	-0.0055
0.35	0.1956	0.0027	-0.0027	0.004	-0.004
0.45	0.1839	0.0027	-0.0027	0.0043	-0.0043
0.549	0.1577	0.0028	-0.0028	0.0043	-0.0043
0.648	0.1327	0.0028	-0.0028	0.0025	-0.0025
0.749	0.0922	0.0025	-0.0025	0.0023	-0.0023
0.94	0.0371	0.0006	-0.0006	0.0008	-0.0008

