#E+- DEUT --> E+- K+ X					
#0.3-0.4					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.068	0.1016	0.0029	-0.0029	0.0044	-0.0044
0.155	0.2303	0.004	-0.004	0.0105	-0.0105
0.251	0.3185	0.0052	-0.0052	0.0171	-0.0171
0.35	0.3278	0.0057	-0.0057	0.0178	-0.0178
0.451	0.3057	0.006	-0.006	0.0161	-0.0161
0.554	0.2171	0.0051	-0.0051	0.0098	-0.0098
0.653	0.1373	0.0039	-0.0039	0.0055	-0.0055
0.755	0.0907	0.0033	-0.0033	0.0038	-0.0038
0.955	0.0257	0.0008	-0.0008	0.001	-0.001

