#27.6					
#E+- DEUT --> E+- K- X					
#0.3-0.4					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.068	0.0483	0.0018	-0.0018	0.0024	-0.0024
0.154	0.1103	0.0026	-0.0026	0.0051	-0.0051
0.251	0.1451	0.0033	-0.0033	0.0063	-0.0063
0.351	0.1642	0.0038	-0.0038	0.0075	-0.0075
0.454	0.1394	0.0038	-0.0038	0.0064	-0.0064
0.554	0.1052	0.0033	-0.0033	0.0042	-0.0042
0.656	0.08	0.0029	-0.0029	0.0029	-0.0029
0.756	0.0542	0.0025	-0.0025	0.0017	-0.0017
0.941	0.0167	0.0007	-0.0007	0.0005	-0.0005

