#27.6					
#E+- DEUT --> E+- K- X					
#0.6-0.8					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.069	0.0039	0.0005	-0.0005	0.0002	-0.0002
0.157	0.0089	0.0006	-0.0006	0.0003	-0.0003
0.254	0.0145	0.0008	-0.0008	0.0003	-0.0003
0.349	0.0164	0.0009	-0.0009	0.0004	-0.0004
0.448	0.0187	0.001	-0.001	0.0006	-0.0006
0.553	0.0161	0.001	-0.001	0.0006	-0.0006
0.644	0.0144	0.001	-0.001	0.0004	-0.0004
0.745	0.0111	0.0009	-0.0009	0.0004	-0.0004
0.927	0.0043	0.0002	-0.0002	0.0001	-0.0001

