#E+- DEUT --> E+- K- X					
#0.4-0.6					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.068	0.0141	0.0007	-0.0007	0.0007	-0.0007
0.154	0.0354	0.001	-0.001	0.0017	-0.0017
0.251	0.0554	0.0013	-0.0013	0.0026	-0.0026
0.352	0.0631	0.0015	-0.0015	0.0033	-0.0033
0.451	0.0669	0.0017	-0.0017	0.0037	-0.0037
0.55	0.0542	0.0016	-0.0016	0.0027	-0.0027
0.652	0.0444	0.0016	-0.0016	0.0019	-0.0019
0.754	0.0311	0.0013	-0.0013	0.0008	-0.0008
0.94	0.0103	0.0003	-0.0003	0.0002	-0.0002

