#27.6					
#E+- DEUT --> E+- K+ X					
#0.6-0.8					
#PT (deuteron) [GEV]	MULT	stat +	stat -	sys +	sys -
0.069	0.012	0.001	-0.001	0.0004	-0.0004
0.155	0.0334	0.0014	-0.0014	0.0013	-0.0013
0.252	0.0521	0.0018	-0.0018	0.0022	-0.0022
0.351	0.0685	0.0021	-0.0021	0.0032	-0.0032
0.451	0.0698	0.0021	-0.0021	0.0031	-0.0031
0.548	0.07	0.0023	-0.0023	0.0028	-0.0028
0.651	0.0639	0.0023	-0.0023	0.0023	-0.0023
0.747	0.051	0.0022	-0.0022	0.0018	-0.0018
0.935	0.0197	0.0005	-0.0005	0.0005	-0.0005

