# pt2l pt2h <pt2> <nu> <z> <Q2>
0.00  0.05 0.023 13.059 0.379 2.550
0.05  0.10 0.073 14.107 0.390 2.611
0.10  0.30 0.182 15.276 0.385 2.599
0.30  0.50 0.384 16.172 0.392 2.616
0.50  0.70 0.585 16.669 0.424 2.635
0.70  0.90 0.787 16.912 0.456 2.627
0.90  1.10 0.987 17.211 0.483 2.620
1.10  1.40 1.225 17.471 0.505 2.648
1.40  1.95 1.606 17.788 0.535 2.615
1.95  5.00 2.418 18.487 0.571 2.625
